"","Latitude","Longitude"
"266",33.29,-111.72
"267",33.33,-111.75
"268",33.38,-111.79
"269",33.38,-111.72
"270",33.33,-111.76
"271",33.28,-111.79
"272",33.31,-111.74
"273",33.35,-111.76
"274",33.27,-111.69
"275",33.35,-111.72
"276",33.34,-111.81
"277",33.64,-112.23
"278",33.58,-112.15
"279",33.58,-112.2
"280",33.65,-112.23
"281",33.65,-112.19
"282",33.61,-112.16
"283",33.67,-112.2
"284",33.71,-112.14
"285",33.54,-112.36
"286",33.67,-112.22
"287",33.67,-112.2
"288",33.6,-112.17
"289",33.61,-112.18
"290",33.61,-112.19
"291",33.64,-112.23
"292",33.67,-112.19
"293",33.64,-112.15
"294",33.71,-112.14
"295",33.37,-111.47
"296",33.44,-112.41
"297",33.46,-112.4
"298",33.45,-112.39
"299",33.47,-112.34
"300",33.49,-112.36
"301",33.46,-112.36
"302",33.36,-112.42
"303",31.85,-111
"304",33.33,-111.69
"305",35.23,-114.04
"306",35.21,-114.04
"307",35.24,-114.04
"308",34.47,-114.34
"309",34.47,-114.34
"310",34.48,-114.32
"311",34.46,-114.28
"312",34.14,-109.96
"313",33.38,-112.17
"314",33.38,-112.17
"315",33.38,-112.17
"316",33.51,-112.34
"317",33.51,-112.34
"318",33.51,-112.37
"319",33.51,-112.36
"320",32.37,-111.1
"321",32.41,-111.3
"322",32.37,-111.14
"323",32.34,-111.05
"324",32.34,-111.05
"325",33.07,-112.04
"326",33.07,-112.2
"327",33.07,-112.05
"328",33.38,-111.84
"329",33.39,-111.86
"330",33.41,-111.69
"331",33.47,-111.68
"332",33.38,-111.75
"333",33.38,-111.79
"334",33.43,-111.87
"335",33.45,-111.73
"336",33.47,-111.68
"337",33.36,-111.88
"338",33.38,-111.64
"339",33.39,-111.75
"340",33.44,-111.63
"341",33.42,-111.77
"342",33.38,-111.8
"343",33.42,-111.87
"344",33.42,-111.73
"345",33.38,-111.86
"346",33.32,-111.69
"347",33.39,-111.86
"348",33.36,-111.86
"349",33.43,-111.88
"350",33.41,-111.63
"351",33.4,-111.64
"352",33.38,-111.74
"353",33.38,-111.6
"354",33.45,-111.7
"355",33.39,-111.68
"356",33.46,-111.68
"357",33.38,-111.69
"358",33.38,-111.64
"359",33.39,-111.75
"360",33.45,-111.8
"361",33.38,-111.87
"362",33.31,-111.68
"363",33.45,-111.8
"364",33.38,-111.6
"365",33.4,-110.87
"366",33.05,-109.33
"367",31.37,-110.94
"368",31.37,-110.94
"369",32.4,-110.96
"370",32.43,-110.96
"371",32.4,-110.96
"372",32.4,-111
"373",36.92,-111.46
"374",34.15,-114.28
"375",34.24,-111.32
"376",34.25,-111.31
"377",33.61,-112.22
"378",33.68,-112.24
"379",33.71,-112.27
"380",33.64,-112.23
"381",33.68,-112.24
"382",33.56,-112.29
"383",33.71,-112.27
"384",33.71,-112.27
"385",33.67,-112.28
"386",33.64,-112.23
"387",33.72,-112.26
"388",33.51,-112.03
"389",33.58,-111.98
"390",33.64,-112.07
"391",33.44,-112
"392",33.67,-112.12
"393",33.51,-112.24
"394",33.76,-111.99
"395",33.48,-112.01
"396",33.31,-112.05
"397",33.57,-112.15
"398",33.51,-112.04
"399",33.68,-111.98
"400",33.48,-112.11
"401",33.44,-112.01
"402",33.47,-112.07
"403",33.54,-112.1
"404",33.64,-112.07
"405",33.61,-112.1
"406",33.67,-112.12
"407",33.38,-112.03
"408",33.47,-112.08
"409",33.54,-112.06
"410",33.58,-111.88
"411",33.71,-112.11
"412",33.51,-112.28
"413",33.61,-112.15
"414",33.5,-111.98
"415",33.64,-112.12
"416",33.51,-112.03
"417",33.31,-111.97
"418",33.68,-111.97
"419",33.44,-112.01
"420",33.51,-112.01
"421",33.6,-111.98
"422",33.53,-112.01
"423",33.48,-112.08
"424",33.51,-112.08
"425",33.64,-112.01
"426",33.71,-112.2
"427",33.68,-111.97
"428",33.68,-111.97
"429",33.64,-112.07
"430",33.64,-112.01
"431",33.51,-112.05
"432",33.67,-112.12
"433",33.3,-111.98
"434",33.38,-112.1
"435",33.3,-112
"436",33.44,-112.01
"437",33.6,-111.98
"438",33.45,-112.07
"439",33.48,-112.02
"440",33.48,-111.99
"441",33.48,-112.22
"442",33.58,-111.98
"443",33.48,-112.25
"444",33.63,-112
"445",33.64,-112.13
"446",33.62,-111.94
"447",33.33,-111.98
"448",33.65,-112.03
"449",33.64,-112.05
"450",33.64,-112.06
"451",33.38,-112.03
"452",33.49,-112.07
"453",33.48,-111.98
"454",33.5,-112.02
"455",33.44,-112.01
"456",33.61,-112.07
"457",33.49,-111.96
"458",33.58,-111.98
"459",33.5,-111.99
"460",33.55,-112.13
"461",33.61,-112.01
"462",33.52,-112.09
"463",33.61,-112.07
"464",33.61,-111.98
"465",33.51,-112.08
"466",33.39,-112.05
"467",33.6,-112.15
"468",33.32,-112.01
"469",33.64,-112.29
"470",33.45,-112.07
"471",33.45,-112.07
